SÍLABAS UNIVERSAIS (Consoante + Vogal + R)

B: ba=QAQQR  be=QAQAR  bi=QAQRR  bo=QAAQR  bu=QAAAR
C: ca=QRQQR  ce=QRQAR  ci=QRQRR  co=QRAQR  cu=QRAAR
D: da=QQQQQR  de=QQQQAR  di=QQQQRR  do=QQQAQR  du=QQQAAR
F: fa=QQRQQR  fe=QQRQAR  fi=QQRQRR  fo=QQRAQR  fu=QQRAAR
G: ga=QAQQQR  ge=QAQQAR  gi=QAQQRR  go=QAQAQR  gu=QAQAAR
H: ha=QAAQQR  he=QAAQAR  hi=QAAQRR  ho=QAAAQR  hu=QAAAAR
J: ja=QRQQQR  je=QRQQAR  ji=QRQQRR  jo=QRQAQR  ju=QRQAAR
K: ka=QRAQQR  ke=QRAQAR  ki=QRAQRR  ko=QRAAQR  ku=QRAAAR
L: la=QRRQQR  le=QRRQAR  li=QRRQRR  lo=QRRAQR  lu=QRRAAR
M: ma=AQQQR  me=AQQAR  mi=AQQRR  mo=AQAQR  mu=AQAAR
N: na=AAQQR  ne=AAQAR  ni=AAQRR  no=AAAQR  nu=AAAAR
P: pa=AQQQQR  pe=AQQQAR  pi=AQQQRR  po=AQQAQR  pu=AQQAAR
Q: qa=AQAQQR  qe=AQAQAR  qi=AQAQRR  qo=AQAAQR  qu=AQAAAR
R: ra=AQRQQR  re=AQRQAR  ri=AQRQRR  ro=AQRAQR  ru=AQRAAR
S: sa=AAQQQR  se=AAQQAR  si=AAQQRR  so=AAQAQR  su=AAQAAR
T: ta=AAAQQR  te=AAAQAR  ti=AAAQRR  to=AAAAQR  tu=AAAAAR
V: va=ARQQQR  ve=ARQQAR  vi=ARQQRR  vo=ARQAQR  vu=ARQAAR
W: wa=ARAQQR  we=ARAQAR  wi=ARAQRR  wo=ARAAQR  wu=ARAAAR
X: xa=ARRQQR  xe=ARRQAR  xi=ARRQRR  xo=ARRAQR  xu=ARRAAR
Y: ya=RQQQR  ye=RQQAR  yi=RQQRR  yo=RQAQR  yu=RQAAR
Z: za=RAQQR  ze=RAQAR  zi=RAQRR  zo=RAAQR  zu=RAAAR


SÍLABAS INVERTIDAS UNIV. (Vogal + Cons. + Q)
A: ab=QQQAQ  ac=QQQRQ  ad=QQQQQQ  af=QQQQRQ  ag=QQQAQQ...
E: eb=QQAQAQ  ec=QQAQRQ  ed=QQAQQQQ  ef=QQAQQRQ  eg=QQAQAQQ...
I: ib=QARQAQ  ic=QARQRQ  id=QARQQQQ  if=QARQQRQ  ig=QARQAQQ...
O: ob=ARQAQ  oc=ARQRQ  od=ARQQQQ  of=ARQQRQ  og=ARQAQQ...
U: ub=AARQAQ  uc=AARQRQ  ud=AARQQQQ  uf=AARQQRQ  ug=AARQAQQ...
(A regra vale para todas as 21 consoantes)
